IDJogo;DataHora;PontosCasa;PontosVisitante;IDEstadio;IDTimeCasa;IDTimeFora
407;13/12/2022 03:00;133;112;24;25;18
408;13/12/2022 03:30;113;93;13;13;2
409;14/12/2022 00:00;123;103;22;23;26
410;14/12/2022 00:30;128;111;16;17;10
411;14/12/2022 01:00;111;97;11;11;24
412;14/12/2022 02:00;121;100;28;29;19
413;14/12/2022 03:00;118;122;13;14;2
414;15/12/2022 00:00;134;141;4;4;9
415;15/12/2022 00:00;125;119;12;12;10
416;15/12/2022 00:00;135;124;21;22;1
417;15/12/2022 00:30;123;124;27;28;26
418;15/12/2022 00:30;120;128;5;5;20
419;15/12/2022 01:00;108;110;20;21;16
420;15/12/2022 01:00;112;128;26;27;25
421;15/12/2022 02:00;90;105;7;7;6
422;15/12/2022 02:00;141;128;8;8;30
423;15/12/2022 03:00;99;88;13;13;18
424;16/12/2022 01:00;108;111;11;11;16
425;16/12/2022 01:00;142;101;14;15;17
426;16/12/2022 02:00;132;129;28;29;19
427;16/12/2022 03:30;95;111;13;13;24
428;17/12/2022 00:00;106;125;4;4;1
429;17/12/2022 00:00;113;122;9;9;26
430;17/12/2022 00:30;109;117;2;2;22
431;17/12/2022 00:30;118;112;6;6;12
432;17/12/2022 00:30;118;106;22;23;10
433;17/12/2022 00:30;116;119;27;28;3
434;17/12/2022 01:00;91;114;5;5;20
435;17/12/2022 01:00;110;112;20;21;18
436;17/12/2022 01:30;130;110;7;7;25
437;17/12/2022 03:00;126;108;13;14;8
438;17/12/2022 21:00;102;93;13;13;30
439;17/12/2022 22:00;101;111;26;27;16
440;18/12/2022 01:00;100;99;6;6;7
441;18/12/2022 01:00;95;107;11;11;25
442;18/12/2022 01:00;123;97;16;17;29
443;18/12/2022 01:00;115;109;20;21;15
444;18/12/2022 02:00;118;114;23;24;19
445;18/12/2022 20:00;92;95;2;2;22
446;18/12/2022 22:00;106;109;12;12;20
447;18/12/2022 23:00;121;124;9;9;3
448;18/12/2022 23:00;110;126;27;28;10
449;19/12/2022 00:00;150;126;17;18;5
450;19/12/2022 01:00;119;115;8;8;4
451;19/12/2022 02:30;119;117;13;14;30
452;20/12/2022 00:00;0;0;6;6;29
453;20/12/2022 00:00;0;0;22;23;28
454;20/12/2022 00:30;0;0;1;1;22
455;20/12/2022 01:00;0;0;11;11;27
456;20/12/2022 01:00;0;0;17;18;7
457;20/12/2022 01:00;0;0;18;19;17
458;20/12/2022 01:00;0;0;20;21;25
459;20/12/2022 02:00;0;0;23;24;14
460;20/12/2022 03:00;0;0;25;26;4
461;21/12/2022 00:00;0;0;9;9;29
462;21/12/2022 00:30;0;0;15;16;5
463;21/12/2022 00:30;0;0;19;20;10
464;21/12/2022 02:00;0;0;23;24;30
465;21/12/2022 03:00;0;0;8;8;15
466;22/12/2022 00:00;0;0;6;6;17
467;22/12/2022 00:00;0;0;22;23;9
468;22/12/2022 00:30;0;0;1;1;5
469;22/12/2022 00:30;0;0;2;2;12
470;22/12/2022 00:30;0;0;3;3;10
471;22/12/2022 00:30;0;0;19;20;28
472;22/12/2022 01:00;0;0;11;11;22
473;22/12/2022 01:00;0;0;17;18;7
474;22/12/2022 01:00;0;0;20;21;25
475;22/12/2022 03:00;0;0;25;26;14
476;22/12/2022 03:30;0;0;13;13;4
477;23/12/2022 01:00;0;0;18;19;27
478;23/12/2022 02:00;0;0;28;29;30
479;24/12/2022 00:00;0;0;21;22;27
480;24/12/2022 00:00;0;0;22;23;13
481;24/12/2022 00:30;0;0;1;1;9
482;24/12/2022 00:30;0;0;2;2;18
483;24/12/2022 00:30;0;0;3;3;17
484;24/12/2022 00:30;0;0;6;6;28
485;24/12/2022 00:30;0;0;19;20;5
486;24/12/2022 01:00;0;0;15;16;12
487;24/12/2022 01:00;0;0;11;11;7
488;24/12/2022 01:00;0;0;20;21;19
489;24/12/2022 02:00;0;0;8;8;25
490;24/12/2022 03:00;0;0;23;24;15
491;24/12/2022 03:00;0;0;25;26;30
492;24/12/2022 03:30;0;0;13;14;4
493;25/12/2022 17:00;0;0;19;20;23
494;25/12/2022 19:30;0;0;7;7;14
495;25/12/2022 22:00;0;0;2;2;17
496;26/12/2022 01:00;0;0;10;10;15
497;26/12/2022 03:30;0;0;8;8;24
498;27/12/2022 00:00;0;0;6;6;3
499;27/12/2022 00:00;0;0;9;9;13
500;27/12/2022 00:30;0;0;15;16;18
501;27/12/2022 01:00;0;0;5;5;11
502;27/12/2022 01:00;0;0;18;19;12
503;27/12/2022 01:00;0;0;26;27;29
